"","event","latitude","longitude","raw_intensity_measure","intensity_classification","f_cluster_2","f_cluster_3","f_cluster_5","f_cluster_16","f_cluster_19","f_cluster_21","f_cluster_5_rating","f_cluster_19_rating"
"166","fire",41.1008,-123.7108,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"167","fire",41.1006,-123.7108,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"168","fire",41.0992,-123.6983,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"169","fire",41.0872,-123.7025,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"170","fire",41.0889,-123.7022,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"171","fire",41.0861,-123.7028,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"172","fire",41.1019,-123.7028,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"173","fire",41.1042,-123.7014,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"174","fire",41.0964,-123.7014,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"175","fire",41.0814,-123.7019,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"176","fire",41.1722,-123.7019,58,2,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"177","fire",41.0192,-123.7039,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"178","fire",41.0072,-123.7069,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"179","fire",41.005,-123.7025,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"180","fire",41.0111,-123.6947,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"181","fire",41.0111,-123.6947,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"182","fire",41.0075,-123.7006,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"183","fire",41.07,-123.7067,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"184","fire",41.0717,-123.6958,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"185","fire",41.0656,-123.6956,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"186","fire",41.0653,-123.695,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"187","fire",41.0572,-123.7047,12,2,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"188","fire",41.0492,-123.6731,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"189","fire",41.0511,-123.7114,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"190","fire",41.0486,-123.6647,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"191","fire",41.05097,-123.68678,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"192","fire",41.0506,-123.6797,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
